No.,Entity_Name,Region,Description,Business,Services,Website,Address,Contact_Person,Tel,Fax,Email,Others,Role1,Role_Description1,Product1,Quantity1,Price1,Role2,Role_Description2,Product2,Quantity2,Price2,Role3,Role_Description1,Product3,Quantity3,Price3
22,"Huvy Export Import Co., Ltd.",Viet Nam,"Established in the year 2018, Huvy Export Import Co., Ltd. deals in the Export of Fish maw, dried anchovy fish, salted baby shrimps, fried fish maw, aluminum ingot, fresh ginger, betel nuts.

We are one of leading companies specializing in supply dried seafood and agricutural products from Viet Nam.",Distributor, Dealer / Reseller,http://www.huvyexim.com.vn,"Floor 5Th, Songdo Buiding, 62 A Pham Ngoc Thach
Vo Thi Sau Ward , District 3
Ho Chi Minh 700000
Viet Nam",Le Nguyen Quoc Hung Designation: Ceo,+84 916087209,,lenguyenquochung56@gmail.com,"Established: 2018
Approximate Annual Sales: 1 million to 5 million USD",Supplier,,"I. Seafood:
1. Dried Anchovy Fish
2. Salted Baby Shrimps
3. Fried/Dried/Baked Fish Maw
4. Crab
5. Lobster


II. Spices & Herbs:
1. Fresh Ginger
2. Cinnamon

III. Vegetables & Fruits:
i. Fresh
1. Betel Nuts
2. Fresh Young Coconut
3. Carrot
ii Value Added
1. Canned Pinapple

IV. Animal Feed

V. Materials
1. Aluminium Ingot",,,,,,,,,,,,
23,"Blue Lotus Exim Co., Ltd.",Viet Nam,"Blue Lotus is a youthful, dynamic, and experienced firm in producing and supplying Vietnams eco'-friendly handicraft products. With a collective of highly skilled and talented members having a strong passion for a sustainable future for the Vietnam handicraft industry, we initially started our journey with some rattan items, then quickly turned our portfolio into a diverse range of items, from handicrafts to agricultural products made of natural resources.

Thanks to local material advantages and skillful craftsmanship, we can be able to transform many natural materials such as coconut, bamboo, rattan, seagrass, water hyacinth, palm leaf into distinctively stunning artworks. Our products have been exported and usually receive a warm reception from customers worldwide for their high quality, beautiful designs, reasonable prices, and on-time delivery.

At Blue Lotus, we always consider trust, share and success of partners, shareholders, customers and farmers as our mission, motivation and award. We are honored to be one of the most prestigious companies in the field and are proud to be your trustworthy supplier.

OUR CORE VALUE
Our business is strongly driven by the word sustainable that all sourcing activities should share a part in protecting the local environment and make contributions to protect our ecosystem. We commit to clients that our products are all sourced from green farms which do not use any chemicals, pesticides, or fungicides during production, and we are capable of supplying large quantities with consistent quality.

OUR VISION
To become a top reliable supplier of sustainable and eco-friendly handicraft products with worldwide recognition, bringing added value to farmers, partners, customers, and employees as well as useful values to the community and society.

OUR MISSIONS
To customers: Provide products and services with world-class quality and optimal design, satisfying legitimate demands of customers and helping them successful with their business.

To business partners: Commit to sustainable development based on coordination spirit, become the number one companion of our partners.

To employees: Establish a working environment that is professional, equal, and encourages creativity in work.

To local community: Actively contribute to the community-oriented activities, focus on sustainability development. Represent civic responsibility and national pride. Promote the image of Vietnam products to the global market.
","Producer, Distributor","1.  Manufacturer
2. OEM",http://www.bluelotusfarm.vn,"48 Sam Son, Ward 4, Tan Binh District
Ho Chi Minh 700000
Viet Nam",Helen Nguyen Designation: Director,+84 858021450,,info@bluelotusfarm.vn,"Established: 2021
Approximate Annual Sales: 250,000 to 1 million USD",Supplier,,"I.  Handicraft
II.Fruit and Vegetables
1. BANANA LEAF
2. CALAMANSI JAM
3. CALAMANSI POWDER
4. CANNED LOTUS ROOT
5. CANNED LOTUS STEM
6. CANNED LYCHEE
7. CANNED PICKLED GHERKIN/ CUCUMBER/CORNICHON
8. CANNED PINEAPPLE SLICES/ 9. PIECES/ TIDBITS
10. CORN POWDER
11. CORN STARCH
12. DIRED SQUID",,,,,,,,,,,,
24,Geofour Resources Sdn Bhd,Malaysia,,"Producer, Distributor","1.Food Production
2. Distribution ",,"No.51 & 51 A, Jln Sri Sulong
Taman Industri Sri Sulong
Batu Pahat 83000
Johor Malaysia",,,,,Established: 2006,Supplier,,"I. Seafood
i. Dried Seafood:
1. Red Anchovy
2. Dried Shrimps
3. Dried Cuttlefish
4. Dried Salted Fish

ii. Frozen Seafood:
1. Frozen Fish
2. Frozen Prawns
3. Frozen Cuttlefish

iii. Other Seafood:
1. Sea Cucumber
2. Seaweed",,,,,,,,,,,,
25,QL Foods Sdn. Bhd,Malaysia,,Distributor,Distribution Service,,"Lot 9120 &9121, Jalan Tepi Sungai
36400 Hutanmelintang
Perak 36400
Malaysia",,,,,Established: 1987,Supplier,,"I. Seafood (Frozen)
1. Chikuwa
2. Crab Nugget
3. Fish n Soy
4. Fish Sandwich Fisro
5. Flavoured Salmon Ball
6. Golden Fish Roll
7. Horse Claw
8. Imitation Crab Claw
9. Crab Stick
10.  Crab Chunk
11. Mini Chikuwa
12. Oborotsuki",,,,,,,,,,,,
26,Pt. Unico Agro Pacific Indonesia,Indonesia,,Distributor,Distribution Service,,"Indonesia, North Jakarta, Jl. Pantai Indah Utara 1 No.2, Rt.2/rw.7, Kapuk Muara, Kec. Penjaringan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14460
Jakarta 14460
Indonesia Indonesia",,,,,Established: 2018,Supplier,,"I. Coconut Products:
II. Seafood (Fresh/Frozen):
1. Vannamei Shrimp
2. Tiger Prawn
3. Crab
4. Prawn
5. Shrimp
6. Squid
7. Fish
III. Oils:
Crude Palm Oil
IV. Crops
Coffee Beans",,,,,,,,,,,,
27,PT Santoso Corp. International,Indonesia,,Distributor,Distribustion Service,,"Jl. Pangkalan 2 No.2, Kel.cikiwul, Kec.bantargebang, Kota Bekasi - 17152 Jawa Barat
Bekasi
West Java Indonesia",,,,,Established: 2021,Supplier,,"I. Spices:
1. Spices 
2. Cloves
3. Nutmeg
4. Cinnamon
5. Cardamom
6. Ginger
7. Turmeric
8. Pepper
9. Betel Nut
II.Crops
1. Coffee
2. Robusta Coffee Beans
3. Arabica Coffee Beans
4. Coffee Powder
5. Cocoa Powder
6. Cocoa Butter
III. Charcoal & Fuel:
1. Briquette Charcoal
2. Wood Pellets
IV. Seafood:
1. Tuna
2. Shrimp
3. Prawns
4. Mackerel
5. Cuttlefish
V. Poultry:
1. Chicken
2. Chicken Feet",,,,,,,,,,,,
28,CV. Agsa Maju Jaya,Indonesia,,Distributor,Distribustion Service,,"Jalan Pemuda Darat No 32
Dumai 28824
Riau Indonesia",,,,,Established: 2018,Supplier,,"I. Seafood
1.Vaname shrimp 
2. Tiger shrimp
3. Tuna fish
4. Sengin fish
5. Snapper fish
6. Tomfret fish
7. Mangrove crabs",,,,,,,,,,,,
29,Indo World Plaza,Indonesia,,Distributor, Import-export Service,,"Indonesia
Bogor 16144
Jawa Barat Indonesia",,,,,"Established: 2020 
Standards: 63122",Supplier,,"I. Seafood:
1. Loligo Squid
2. Goat Fish
3. Tuna
4. Crab Meat",,,Buyer,,"Clove, copra, nutmeg",,,,,,,
30,"Yantai Chengsen Seafood Co., Ltd.",China,,Distributor,Distribution Service,,"Zhifu District
Yantai 264000
Shandong China",,,,,Established: 2008,Supplier,,"I. Seafood
i. Frozen Seafood:
1. Frozen Squid Tube
2. Frozen Squid Ring
3. Frozen Squid Strip

II. Breaded & Processed Seafood:
1. Breaded Squid Ring
2. Pineapple Squid Flower
3. Squid T+T
4. Squid T+R

III. Dried Seafood:
1. Dried Squid

IV. Squid Cuts & Other:
1. Squid Steak
2. Whole Round Squid",,,,,,,,,,,,
31,ATL Asia Techno Logistic Ltd,Thailand,,Distributor,Distribution Service,,"149 Galaxy Place Building, 4th Floor, Ro
Nonsee Road, Chongnonsee
Bangkok 10120
Thailand",,,,,,Supplier,,"I. Crops
1. Thai White Rice
2. Thai Jasmine Rice
3. Thai Parboiled Rice
4. Thai Hom Mali Brown Rice
5. Thai Rice Broken
6. Organic Riceberry Rice
II. Fruit and Vegetables
1. Canned Tropical Fruits and Vegetables
2.Dried Tropical Fruits and Vegetables
III. Seafood
1. Frozen Seafood
2. Canned Seafood",,,,,,,,,,,,
32,Land & Sea International,Taiwan,,Distributor,Distribution Service,,"19f-2, No.629, Chongde 1st Rd
North Dist. 404
Taichung Taiwan
 File a complaint Rate This Member",,,,,,Supplier,,"I. Seafood
i. Frozen Fish:
1. Tilapia
2. Mahi Mahi
3. Barramundi
4. Milk Fish
5. Rohu
ii. Frozen Shrimp:
1. Vannamei
iii. Other Frozen Seafood:
1. Squid
2. Soft Shell Crab",,,,,,,,,,,,
33,"Zhejiang Xinwang Foodstuffs Co., Ltd.", China,,Distributor,Distribution Service,,"Ocean Development Zone Putuo District
Zhoushan, Zhejiang
Zhoushan 316000
China",,,,,,Supplier,,"I. Seafood
i. Squid Products:
1. Squid (Todarodes Pacificus) Rings
2. Squid Tubes

ii. Seafood Mix:
1. Seafood Mix
iii. Frozen Fish:
1. Alaska Pollock Fillets
2. Mahi Mahi
3. Tilapia

iv. Frozen Shrimp:
1. Red Shrimp
2. Pink Shrimp
3. Vannamei Shrimp

v. Mollusks:
1. Mussel Meat

vi. Salted Seafood:

Dried Salted Codfish
Salted Pollock",,,,,,,,,,,,
34,Axtrium Sdn Bhd,Malaysia,,"Producer, Distributor","1. Food Production Service
2. Distribution Service",,"B-06-06, Gateway Kiaramas (Corporate Suites),1, Jalan Desa Kiara
Kuala Lumpur 50480
Mont Kiara Malaysia",,,,,"Established: 2015
Standards: AXTRIUM SDN BHD",Supplier,,"I. Seafood:
1. Fresh Farm Produce from Sea Fish

II. Oil
1. Red Palm Olein
2. Refined Palm Oil
3. Extra Virgin Palm Oil

III. Vegetables and Fruits:
1. All kinds vegetables and ruits farm products
2. Fresh Coconut
3. Coconut Milk

V. Flavours
1. Sugar (Sweetening)

VI Crops
1. Soybeans

VII. Poultry
1. Chicken Parts",,,Buyer,,"Palm oil, sugar, chicken, meat,, fresh produce fishes/halal food.",,,,,,,
35,GM Group Center Inc,United States,,"Producer, Distributor","1. Wood Processing Service
2. Distribution Service",,"4474 Weston Rd # 172
Davie 33331
FL United States",,,,,Established: 2018,Supplier,,"I. Materials
i. Wood Products:
1. Teak (in log)
2. Walnut
3. Pine
4. Cherry
5. White Oak
6. Red Oak
7. White Ash
8. Balsa
9. Eucalyptus
10. Gmelina

II. Seafood:
1. Ecuador Shrimp Farm Shrimp
2. Sea Shrimp
3. Ribbonfish
4. Butterfish
5. Mahi Mahi
6. Tuna
7. Sardine",,,Buyer,,Wood for pallets and lumber,,,,,,,
36,"Qingdao Trustmei International Co., Ltd.",China,,Distributor,1. Distribution Service,,"Qingdao
Qingdao 266228
China",,,,,Established: 2013,Supplier,,"I Seafood
i. Fish:
1. Alaska Pollock
2. Arrow Tooth Flounder
3. Cod (Atlantic Cod & Pacific Cod)
4. Greenland Halibut
5. Haddock
6. John Dory
7. Mackerel
8. Monkfish
9. Mahi Mahi Fillets
10.New Zealand Hoki
11. Pacific Hake
12. Redfish (Atlantic Redfish & Pacific Ocean Perch)
13. Saithe
14. Salmon (Chum Salmon & Pink Salmon)
ii. Seafood Mix:
1. Mussel
2. Surimi Chunks
3. Squid Strips
4. Clam
5. quid Tentacles

iii. Shellfish:
1. Short Neck Clam
2. Shrimp (Pink Shrimp & Red Shrimp)
3. Scallops
4. Mussel

iv. Cephalopods:
1. Squid
2. Baby Octopus

v. Processed Seafood:
1. Surimi Crab Stick/Chunk/Bite",,,,,,,,,,,,
37,CV The Has, Indonesia,,"Producer, Distributor","1.Food Production
2. Distribution ",,"
Jl. Jendral Sudirman No.98, Babakan, Kota Tangerang, Banten, Indonesia
Kota Tangerang 15118
Indonesia Indonesia",,,,,Established: 2020,Supplier,,"I. Seafood:
1. Sea Cucumber
2. Fish Maw
3. Dried Salted Squid
4. Dried Shrimp
5.  Anchovies
6. Dried Salted Fish

II. Agricultural Products:
1. Emping Belinjo/Melinjo Seed

III. Processed Food:
1. Mocaf Powder",,,,,,,,,,,,
38,"Dalian Yuheng International Trading Co., Ltd",China,,Distributor,1.  Distribution Service,,"A 2420, Yijinghuayuan Building
Kunming Street, Jiefang Road
Zhongshan District
Dalian 116001
China",,,,,Established: 2005,Supplier,,"I. Seafood
I Fish(fresh/fillets) 
1. Cod",,,,,,,,,,,,
39,AWF Global Trading Company Limited,Hong Kong,"AWF Global Trading Company is Hong Kong based Limited company and a leading player in the global commodity sourcing and trading industry. With years of experience and expertise, we have built a reputation for providing customers with a diverse range of high-quality commodities at competitive prices, with on-time delivery.

At AWF Global, we understand the importance of delivering top-quality commodities that meet the needs of our customers. Our extensive network of suppliers allows us to source a wide range of commodities, like hygienic chilled & frozen Halal Meat, Poultry, Seafood, Offal, Dry Tendon, Salted Omasum, Dried Fish Maw, ICUMSA 45 Sugar, ICUMSA 600-1200, Organic sugar, Agricultural products, Aluminum Ingots & scrap, Copper Cathode & Millberry wire scraps, Garments and many other consumer & Industrial goods.

Our team of experts works tirelessly to ensure that each and every order is fulfilled to the highest standards, with a focus on quality, efficiency, and reliability.

Management Image
The operational perfection starting from sorting, grading, strict quality control, packing and timely shipment schedules and transportation till the arrival of the product to the customers warehouses abroad has contributed greatly to build up our reputation and company's goodwill in marketplace

Overall, AWF Global Trading Company is a reliable and trusted partner for businesses looking to source high-quality commodities at competitive prices. Our commitment to quality, sustainability, and customer satisfaction has helped us build a strong reputation in the industry, and we continue to grow through our dedication to providing the best service possible to our customers. With a focus on building long-term relationships with both suppliers and customers, we are well-positioned to continue to be a leader in the global commodity market for years to come.

Mission
To provide highest quality product and add value to customer's expectations to make lives healthier and happier.

Vision
To be a renowned and respectable supplier of quality products in the global market adding sustainable value to stakeholders.

Goal
At AWF Global we strive to achieve a consolidated, sustained and independent growth in the global and domestic market that ensures long term business success.",Distributor,"1. Global commodity Sourcing
2. Trading, manufacturing 
3. Import/Export
4. Wholesale and Distribution",https://awftraders.com/,"Rm 7B, 18 Luard Road, Wan Chai, Hong Kong 6266 1443
Hong Kong 6266 1443
Hong Kong",Waqar Ahmad Designation: Director,+852 - 6266 1443,,"Email: contact@awftraders.com
Gmail: awfglobaltrading@gmail.com","Established: 2022
Approximate Annual Sales: 250,000 to 1 million USD",Supplier,,"I. Polutry and Livestock
1. Chilled/Frozen Beef
2. Chilled/Frozen Buffalo
3. Chilled/Frozen Goat Halal Meat
4. Poultry (Whole Chicken, Breast, Thigh, MJW, Drumstick, Paws, Feet, etc.)
5. Salted Beef Omasum
6. Beef Offal
7 .Dry Tendon

II. Seafood:
1. Fish Maw
2. Dried Sea Cucumber

III. Agro Products:
i. Crops
1. Rice
2. Jasmine Rice
3. Soyabean
ii Fruit and Vegetables
1. Dry Fruits
iii. Herbs
1. Saffron

IV. Oils:
1. Sunflower Oil
2. Cooking Oil
3. Palm Oil
4. Edible Oil

V. Flavour:
1. Raw Sugar
2. ICUMSA 45 Sugar
3. Organic Sugar

VI. Industrial Materials:
1. Aluminum Scrap
2. Nickel Wire
3. Copper Cathode
4. Copper Millberry Scraps

VII. Fuels:
1. Gasoil
2. Diesel EN590 10 ppm
3. Diesel EN590 500 ppm

VIII. Fertilizers:
1. Urea
2. NPK
3. DAP
",,,,,,,,,,,,
